,0,1,2
0,0,0,1
1,1,0,0
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,1
8,1,0,0
9,0,0,1
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,1
14,0,0,1
15,0,1,0
16,0,0,1
17,0,0,1
18,0,0,1
19,0,1,0
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,1,0,0
25,0,0,1
26,1,0,0
27,0,0,1
28,0,0,1
29,0,0,1
30,1,0,0
31,0,0,1
32,0,0,1
33,1,0,0
34,0,1,0
35,0,0,1
36,0,0,1
37,0,0,1
38,1,0,0
39,0,0,1
40,1,0,0
41,0,0,1
42,1,0,0
43,0,0,1
44,0,0,1
45,1,0,0
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0,1
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,1,0,0
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,0,1
61,0,0,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,0,1
71,0,0,1
72,0,0,1
73,1,0,0
74,1,0,0
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,1,0,0
86,0,0,1
87,0,0,1
88,1,0,0
89,0,0,1
90,0,1,0
91,0,0,1
92,1,0,0
93,0,0,1
94,0,0,1
95,1,0,0
96,0,0,1
97,0,0,1
98,1,0,0
99,0,0,1
100,0,0,1
101,1,0,0
102,0,0,1
103,0,0,1
104,0,0,1
105,0,0,1
106,1,0,0
107,0,0,1
108,0,0,1
109,0,0,1
110,1,0,0
111,0,0,1
112,0,0,1
113,0,1,0
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,1,0,0
125,0,1,0
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,0,1
132,0,0,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,1,0
137,0,0,1
138,0,0,1
139,1,0,0
140,0,0,1
141,1,0,0
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,1,0
149,0,0,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,1,0,0
155,1,0,0
156,0,0,1
157,0,0,1
158,0,0,1
159,0,0,1
160,1,0,0
161,0,0,1
162,0,0,1
163,0,0,1
164,1,0,0
165,0,1,0
166,1,0,0
167,0,0,1
168,0,0,1
169,0,0,1
170,0,0,1
171,1,0,0
172,0,0,1
173,0,0,1
174,1,0,0
175,0,0,1
176,0,0,1
177,0,0,1
178,0,0,1
179,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
183,0,0,1
184,0,0,1
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0,1
190,0,0,1
191,0,0,1
192,0,0,1
193,0,0,1
194,0,0,1
195,1,0,0
196,0,1,0
197,0,0,1
198,0,0,1
199,0,0,1
200,0,0,1
201,0,0,1
202,0,0,1
203,0,0,1
204,0,0,1
205,1,0,0
206,0,0,1
207,1,0,0
208,0,0,1
209,0,0,1
210,0,0,1
211,0,0,1
212,0,0,1
213,0,0,1
214,0,0,1
215,0,0,1
216,0,0,1
217,0,0,1
218,0,0,1
219,1,0,0
220,0,0,1
221,0,0,1
222,0,1,0
223,0,0,1
224,0,1,0
225,0,0,1
226,0,0,1
227,0,0,1
228,1,0,0
229,0,0,1
230,0,0,1
231,0,0,1
232,0,1,0
233,0,0,1
234,1,0,0
235,1,0,0
236,0,0,1
237,0,0,1
238,1,0,0
239,0,0,1
240,1,0,0
241,0,0,1
242,0,0,1
243,1,0,0
244,1,0,0
245,1,0,0
246,1,0,0
247,1,0,0
248,0,0,1
249,0,0,1
250,0,0,1
251,0,0,1
252,0,0,1
253,0,0,1
254,0,0,1
255,1,0,0
256,0,0,1
257,0,0,1
258,0,1,0
259,0,0,1
260,1,0,0
261,0,0,1
262,0,0,1
263,0,0,1
264,1,0,0
265,0,0,1
266,0,0,1
267,0,0,1
268,0,0,1
269,1,0,0
270,0,0,1
271,0,0,1
272,0,0,1
273,0,0,1
274,0,0,1
275,0,0,1
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,0,0,1
282,1,0,0
283,0,0,1
284,0,0,1
285,0,0,1
286,0,0,1
287,0,0,1
288,1,0,0
289,1,0,0
290,0,0,1
291,0,0,1
292,1,0,0
293,1,0,0
294,1,0,0
295,0,0,1
296,0,0,1
297,1,0,0
298,0,0,1
299,0,0,1
300,1,0,0
301,1,0,0
302,0,0,1
303,1,0,0
304,1,0,0
305,0,0,1
306,0,0,1
307,0,0,1
308,0,0,1
309,0,0,1
310,1,0,0
311,0,0,1
312,0,0,1
313,0,0,1
314,1,0,0
315,0,0,1
316,0,0,1
317,0,0,1
318,0,0,1
319,0,0,1
320,0,0,1
321,0,0,1
322,0,0,1
323,0,0,1
324,0,0,1
325,0,0,1
326,0,0,1
327,0,0,1
328,0,0,1
329,0,0,1
330,0,1,0
331,0,0,1
332,0,0,1
333,0,0,1
334,0,0,1
335,0,0,1
336,0,1,0
337,0,0,1
338,0,0,1
339,0,0,1
340,0,0,1
341,0,0,1
342,0,0,1
343,0,0,1
344,0,0,1
345,0,0,1
346,0,0,1
347,0,0,1
348,0,0,1
349,0,0,1
350,0,0,1
351,0,0,1
352,0,0,1
353,0,0,1
354,0,0,1
355,0,0,1
356,0,0,1
357,0,0,1
358,0,0,1
359,1,0,0
360,0,0,1
361,0,0,1
362,1,0,0
363,1,0,0
364,1,0,0
365,0,0,1
366,0,0,1
367,0,0,1
368,0,0,1
369,0,0,1
370,0,0,1
371,0,0,1
372,0,0,1
373,1,0,0
374,0,0,1
375,0,0,1
376,1,0,0
377,0,0,1
378,0,0,1
379,0,0,1
380,0,0,1
381,0,0,1
382,0,0,1
383,0,0,1
384,0,0,1
385,1,0,0
386,0,0,1
387,1,0,0
388,0,0,1
389,0,0,1
390,0,0,1
391,0,0,1
392,1,0,0
393,0,0,1
394,1,0,0
395,0,0,1
396,0,0,1
397,0,0,1
398,0,1,0
399,0,0,1
400,0,0,1
401,1,0,0
402,0,0,1
403,0,0,1
404,0,0,1
405,0,1,0
406,0,0,1
407,1,0,0
408,0,0,1
409,0,0,1
410,0,0,1
411,0,0,1
412,0,0,1
413,0,0,1
414,0,0,1
415,1,0,0
416,0,1,0
417,0,0,1
418,0,0,1
419,0,0,1
420,0,0,1
421,1,0,0
422,0,0,1
423,0,0,1
424,0,0,1
425,1,0,0
426,1,0,0
427,0,0,1
428,0,0,1
429,0,0,1
430,0,0,1
431,1,0,0
432,0,0,1
433,0,0,1
434,0,0,1
435,0,0,1
436,1,0,0
437,0,0,1
438,1,0,0
439,0,0,1
440,0,0,1
441,1,0,0
442,0,0,1
443,0,0,1
444,0,0,1
445,0,0,1
446,0,0,1
447,0,0,1
448,0,0,1
449,0,0,1
450,0,0,1
451,0,0,1
452,0,0,1
453,0,0,1
454,0,0,1
455,0,0,1
456,0,0,1
457,0,0,1
458,0,0,1
459,1,0,0
460,0,0,1
461,1,0,0
462,0,0,1
463,0,0,1
464,1,0,0
465,0,0,1
466,0,0,1
467,1,0,0
468,0,0,1
469,0,0,1
470,0,0,1
471,0,0,1
472,1,0,0
473,0,0,1
474,0,0,1
475,1,0,0
476,0,0,1
477,0,0,1
478,0,0,1
479,1,0,0
480,0,0,1
481,0,0,1
482,0,0,1
483,0,0,1
484,0,0,1
485,0,0,1
486,0,0,1
487,0,0,1
488,1,0,0
489,0,0,1
490,1,0,0
491,0,0,1
492,0,0,1
493,0,0,1
494,0,1,0
495,0,0,1
496,0,0,1
497,0,0,1
498,0,0,1
499,1,0,0
500,0,0,1
501,0,0,1
502,0,0,1
503,0,0,1
504,0,0,1
505,0,0,1
506,1,0,0
507,0,0,1
508,1,0,0
509,1,0,0
510,0,0,1
511,1,0,0
512,0,0,1
513,0,0,1
514,0,0,1
515,0,1,0
516,0,0,1
517,0,1,0
518,0,0,1
519,1,0,0
520,0,0,1
521,1,0,0
522,0,0,1
523,0,0,1
524,0,0,1
525,0,0,1
526,0,0,1
527,0,0,1
528,0,0,1
529,0,0,1
530,0,0,1
531,0,0,1
532,0,0,1
533,0,0,1
534,0,0,1
535,0,0,1
536,1,0,0
537,1,0,0
538,0,0,1
539,0,0,1
540,0,0,1
541,1,0,0
542,0,0,1
543,0,0,1
544,0,0,1
545,0,0,1
546,0,0,1
547,1,0,0
548,1,0,0
549,0,0,1
550,0,0,1
551,0,0,1
552,1,0,0
553,0,0,1
554,1,0,0
555,0,0,1
556,1,0,0
557,0,1,0
558,0,0,1
559,0,0,1
560,0,0,1
561,0,0,1
562,0,0,1
563,1,0,0
564,0,0,1
565,0,0,1
566,0,0,1
567,0,0,1
568,1,0,0
569,0,0,1
570,0,0,1
571,0,0,1
572,0,0,1
573,0,0,1
574,0,0,1
575,0,0,1
576,0,0,1
577,0,0,1
578,0,0,1
579,0,0,1
580,0,0,1
581,1,0,0
582,0,0,1
583,0,0,1
584,0,0,1
585,0,0,1
586,1,0,0
587,0,0,1
588,1,0,0
589,0,0,1
590,0,0,1
591,0,0,1
592,0,0,1
593,0,0,1
594,0,0,1
595,0,1,0
596,0,0,1
597,0,0,1
598,0,0,1
599,0,0,1
600,0,0,1
601,0,0,1
602,0,0,1
603,0,0,1
604,0,0,1
605,0,0,1
606,0,0,1
607,1,0,0
608,0,0,1
609,0,0,1
610,0,0,1
611,0,1,0
612,0,0,1
613,0,0,1
614,0,0,1
615,0,0,1
616,0,0,1
617,0,0,1
618,0,0,1
619,0,0,1
620,1,0,0
621,0,0,1
622,0,0,1
623,0,0,1
624,0,0,1
625,0,0,1
626,0,1,0
627,0,0,1
628,1,0,0
629,0,0,1
630,0,0,1
631,0,0,1
632,0,0,1
633,0,0,1
634,1,0,0
635,0,0,1
636,0,0,1
637,0,0,1
638,0,0,1
639,1,0,0
640,0,0,1
641,0,0,1
642,0,0,1
643,0,0,1
644,0,0,1
645,0,0,1
646,0,0,1
647,0,0,1
648,0,0,1
649,0,0,1
650,0,0,1
651,0,0,1
652,1,0,0
653,0,0,1
654,0,0,1
655,0,0,1
656,0,0,1
657,0,0,1
658,0,0,1
659,0,0,1
660,1,0,0
661,1,0,0
662,0,0,1
663,0,0,1
664,0,0,1
665,1,0,0
666,0,0,1
667,0,0,1
668,0,0,1
669,0,0,1
670,1,0,0
671,1,0,0
672,0,0,1
673,0,0,1
674,1,0,0
675,0,0,1
676,0,0,1
677,0,0,1
678,1,0,0
679,0,0,1
680,0,0,1
681,0,0,1
682,0,0,1
683,0,0,1
684,1,0,0
685,0,0,1
686,0,0,1
687,0,0,1
688,0,0,1
689,0,0,1
690,1,0,0
691,0,0,1
692,0,0,1
693,0,0,1
694,0,0,1
695,0,0,1
696,0,0,1
697,1,0,0
698,1,0,0
699,0,0,1
700,0,0,1
701,1,0,0
702,0,0,1
703,0,0,1
704,0,0,1
705,0,0,1
706,0,0,1
707,0,1,0
708,0,0,1
709,0,0,1
710,1,0,0
711,0,1,0
